"Plot","Site","Creek","Year","Month","Site","tmin","date.tmin","tmax","date.tmax","ppt","date.ppt","Prev12"
"1",1,1,"Cebolla",1980,1,"Cebolla Mid",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"1479",22,1,"Cebolla",1980,1,"Cebolla Mid",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"2200",32,1,"Cebolla",1980,1,"Cebolla Mid",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"2567",42,1,"Cebolla",1980,1,"Cebolla Mid",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"3301",52,1,"Cebolla",1980,1,"Cebolla Mid",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"1014",16,2,"Cebolla",1980,1,"Cebolla North",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"3663",58,2,"Cebolla",1980,1,"Cebolla North",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"4161",89,2,"Cebolla",1980,1,"Cebolla North",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"4646",90,2,"Cebolla",1980,1,"Cebolla North",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"5134",96,2,"Cebolla",1980,1,"Cebolla North",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"5619",98,2,"Cebolla",1980,1,"Cebolla North",-12.6700000762939,"PRISM_tmin_stable_4kmM2_198001_bil",1.28999996185303,"PRISM_tmax_stable_4kmM2_198001_bil",36.4300003051758,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"10876",606,5,"SouthBeaver",1980,1,"Site 5",-14.4300003051758,"PRISM_tmin_stable_4kmM2_198001_bil",0.610000014305115,"PRISM_tmax_stable_4kmM2_198001_bil",31.9400005340576,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"11361",607,5,"SouthBeaver",1980,1,"Site 5",-13.8100004196167,"PRISM_tmin_stable_4kmM2_198001_bil",0.910000026226044,"PRISM_tmax_stable_4kmM2_198001_bil",32.060001373291,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"12093",608,5,"SouthBeaver",1980,1,"Site 5",-13.8100004196167,"PRISM_tmin_stable_4kmM2_198001_bil",0.910000026226044,"PRISM_tmax_stable_4kmM2_198001_bil",32.060001373291,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"12661",609,5,"SouthBeaver",1980,1,"Site 5",-13.8100004196167,"PRISM_tmin_stable_4kmM2_198001_bil",0.910000026226044,"PRISM_tmax_stable_4kmM2_198001_bil",32.060001373291,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"13225",610,5,"SouthBeaver",1980,1,"Site 5",-13.8100004196167,"PRISM_tmin_stable_4kmM2_198001_bil",0.910000026226044,"PRISM_tmax_stable_4kmM2_198001_bil",32.060001373291,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"693",8,15,"SouthBeaver",1980,1,"Site 15",-11.1899995803833,"PRISM_tmin_stable_4kmM2_198001_bil",1.20000004768372,"PRISM_tmax_stable_4kmM2_198001_bil",39.5800018310547,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"9385",578,15,"SouthBeaver",1980,1,"Site 15",-11.1899995803833,"PRISM_tmin_stable_4kmM2_198001_bil",1.20000004768372,"PRISM_tmax_stable_4kmM2_198001_bil",39.5800018310547,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"9987",581,15,"SouthBeaver",1980,1,"Site 15",-11.1899995803833,"PRISM_tmin_stable_4kmM2_198001_bil",1.20000004768372,"PRISM_tmax_stable_4kmM2_198001_bil",39.5800018310547,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"14397",799,15,"SouthBeaver",1980,1,"Site 15",-11.1899995803833,"PRISM_tmin_stable_4kmM2_198001_bil",1.20000004768372,"PRISM_tmax_stable_4kmM2_198001_bil",39.5800018310547,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"6416",300,19,"SouthBeaver",1980,1,"Site 19",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"7517",512,19,"SouthBeaver",1980,1,"Site 19",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"7846",513,19,"SouthBeaver",1980,1,"Site 19",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"8351",514,19,"SouthBeaver",1980,1,"Site 19",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"9099",515,19,"SouthBeaver",1980,1,"Site 19",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"6336",238,26,"SouthBeaver",1980,1,"Site 26",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"6922",480,26,"SouthBeaver",1980,1,"Site 26",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"10560",598,26,"SouthBeaver",1980,1,"Site 26",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"13624",611,26,"SouthBeaver",1980,1,"Site 26",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"13786",614,26,"SouthBeaver",1980,1,"Site 26",-12.8599996566772,"PRISM_tmin_stable_4kmM2_198001_bil",0.779999971389771,"PRISM_tmax_stable_4kmM2_198001_bil",36.0099983215332,"PRISM_ppt_stable_4kmM2_198001_bil",1980
"121",1,1,"Cebolla",1980,2,"Cebolla Mid",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"1507",22,1,"Cebolla",1980,2,"Cebolla Mid",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"2078",32,1,"Cebolla",1980,2,"Cebolla Mid",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"2565",42,1,"Cebolla",1980,2,"Cebolla Mid",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"3300",52,1,"Cebolla",1980,2,"Cebolla Mid",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"1081",16,2,"Cebolla",1980,2,"Cebolla North",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"3783",58,2,"Cebolla",1980,2,"Cebolla North",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"4160",89,2,"Cebolla",1980,2,"Cebolla North",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"4645",90,2,"Cebolla",1980,2,"Cebolla North",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"5133",96,2,"Cebolla",1980,2,"Cebolla North",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"5618",98,2,"Cebolla",1980,2,"Cebolla North",-13.8000001907349,"PRISM_tmin_stable_4kmM2_198002_bil",2.91000008583069,"PRISM_tmax_stable_4kmM2_198002_bil",37.8800010681152,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"10996",606,5,"SouthBeaver",1980,2,"Site 5",-16.5599994659424,"PRISM_tmin_stable_4kmM2_198002_bil",0.889999985694885,"PRISM_tmax_stable_4kmM2_198002_bil",34.8499984741211,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"11360",607,5,"SouthBeaver",1980,2,"Site 5",-15.8400001525879,"PRISM_tmin_stable_4kmM2_198002_bil",1.60000002384186,"PRISM_tmax_stable_4kmM2_198002_bil",33.9099998474121,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"11970",608,5,"SouthBeaver",1980,2,"Site 5",-15.8400001525879,"PRISM_tmin_stable_4kmM2_198002_bil",1.60000002384186,"PRISM_tmax_stable_4kmM2_198002_bil",33.9099998474121,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"12497",609,5,"SouthBeaver",1980,2,"Site 5",-15.8400001525879,"PRISM_tmin_stable_4kmM2_198002_bil",1.60000002384186,"PRISM_tmax_stable_4kmM2_198002_bil",33.9099998474121,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"13064",610,5,"SouthBeaver",1980,2,"Site 5",-15.8400001525879,"PRISM_tmin_stable_4kmM2_198002_bil",1.60000002384186,"PRISM_tmax_stable_4kmM2_198002_bil",33.9099998474121,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"692",8,15,"SouthBeaver",1980,2,"Site 15",-12.9300003051758,"PRISM_tmin_stable_4kmM2_198002_bil",2.50999999046326,"PRISM_tmax_stable_4kmM2_198002_bil",36.5400009155273,"PRISM_ppt_stable_4kmM2_198002_bil",1980
"9313",578,15,"SouthBeaver",1980,2,"Site 15",-12.9300003051758,"PRISM_tmin_stable_4kmM2_198002_bil",2.50999999046326,"PRISM_tmax_stable_4kmM2_198002_bil",36.5400009155273,"PRISM_ppt_stable_4kmM2_198002_bil",1980
